Action,Level,Number,Organization ID,Container,Revision,View,Quantity,Unit of Measure,Reference Designators,Trace Code,Find Number,Line Number,Component Reference,Quantity Option,Inclusion Option,Type,Component Id,Foot Print,Symbol Name
Action,Level,Number,Organization ID,Container,Revision,View,Quantity,Unit of Measure,Reference Designators,Trace Code,Find Number,Line Number,Component Reference,Quantity Option,Inclusion Option,Type,Component Id,footPrint,symbolName
,0,100 SNOW,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,-,Service,,,,,,,,,,,,,
Add,1,0114032,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,fe346626-4863-4dc2-ad11-fcd5fb5439d2,,
Add,2,1263038_SW,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,9bdd6eaa-168b-4ee0-bc82-ddfb1e0abff8,,
Add,2,1263038_SW_CAP,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,237a7d2e-4d62-41ee-919b-17d608b5ab53,,
Add,2,1262701,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,-,Manufacturing,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,5e70d8a4-3c02-402f-96bb-7997e67df173,,
Add,3,7518490,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,4.0,ea,,0,,40,,1,,WCTYPE|wt.part.WTPartUsageLink,ed5bb76f-4c9e-4cb9-b155-02067610107f,,
Add,3,5260907,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,30,,1,,WCTYPE|wt.part.WTPartUsageLink,7602d827-1678-424b-8e7a-e17616ce7c81,,
Add,3,1262701_1,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,10,,1,,WCTYPE|wt.part.WTPartUsageLink,2464010d-3bef-4758-bb5e-f53351528066,,
Add,3,1262701_3,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,20,,1,,WCTYPE|wt.part.WTPartUsageLink,0e92e345-584d-4f84-b4cb-7f66a6522ef8,,
Add,3,7555935,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,4.0,ea,,0,,50,,1,,WCTYPE|wt.part.WTPartUsageLink,3c5d12be-13b8-4ca7-b5da-b8d0136edd91,,
Add,2,5413640,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,9eb758fa-b862-4c7b-bdf4-6942b2b42cab,,
Add,2,5211688,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,1256a80c-b14e-4de2-957f-931120a46dc7,,
Add,1,0114659-11,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,-,Manufacturing,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,57176ed0-a898-46e9-bda0-36f4ac42b1b8,,
Add,2,3022698,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,2.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,6dce2e83-d100-451d-bcc1-a235872593d4,,
Add,3,3022409_BUSHING,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,0212f349-e088-4631-8466-d9d944dd176a,,
Add,3,3022698_RUBBER,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,0b5b3dbf-3123-454d-b05d-bb0d9cc25af2,,
Add,2,5258819,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,d72c3525-4913-4961-9d41-5f7132ccdeef,,
Add,2,1021006,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,5f287f91-7d0c-4c85-aeeb-f87f04904d2b,,
Add,3,5338674,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,2.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,f76ce140-0bf7-4da8-86ef-ea6f17f84ab2,,
Add,3,7519967,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,4.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,551175f0-2dbb-4daf-920f-91dd5b0efa78,,
Add,3,5337394,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,22215a60-d8ed-481b-be1d-a42ce505988c,,
Add,3,5633122,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,2.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,bb8f0bab-944c-4e79-87d4-2f6b527c6cce,,
Add,3,5138262,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,23b0dfdf-8caa-4be1-824e-e78b9175951b,,
Add,3,5633083,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,2.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,97405baf-d8b7-4bc1-8dad-a4d1bb5bafa9,,
Add,3,5138261,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,ead1c498-bb08-459b-9640-f5e2da61884e,,
Add,2,1019146,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,bd6ee9b3-ca72-43e1-a531-6d0342e08e26,,
Add,3,7661130,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,4.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,8fe1c96c-8796-4d06-9e31-2ddc3008376e,,
Add,3,5138263,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,00ce68af-a98e-4414-9ab0-9bc527d41065,,
Add,3,7661637,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,4.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,086d1aec-0431-4b1b-ab5d-e8a72f66ed13,,
Add,3,5337389,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,dc214b3f-8b17-463f-bd77-e453e0c30744,,
Add,3,5337390P,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,5c3228b2-b14f-4a2b-8f8c-0d0c7820c61a,,
Add,3,5138265,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,c49c1c19-be15-4ac8-b227-b9742d963519,,
Add,3,7520147,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,2.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,95c477a8-361a-4650-9d3a-dd8e09abdfca,,
Add,3,5337815,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,c2909260-2141-4f50-90f9-e760f2877b40,,
Add,3,5337395,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,b821b9e0-1211-4756-8a35-f5b06ab1a17b,,
Add,3,5138266,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,8108f3cf-6745-49b5-8911-d3f780f59e81,,
Add,2,5138294,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,cd068363-ae95-446e-b6bd-5908ec3149a3,,
Add,2,2635202,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,67db8c0a-491a-464c-b044-68e890869fa7,,
Add,3,2635204_P,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,d4f6b73a-497b-4dc9-8cf4-3959511b447a,,
Add,3,5439309,OEM,/wt.inf.container.OrgContainer=OEM/wt.pdmlink.PDMLinkProduct=Snowmobile,1,Design,1.0,ea,,0,,,,1,,WCTYPE|wt.part.WTPartUsageLink,aa8442bf-eaff-468f-b2c1-a49031342a9b,,
