Parent Name,Child Name
100 SNOW,0114032
100 SNOW,0114659-11
100 SNOW,5451519
100 SNOW,0113306
100 SNOW,0114026-11
100 SNOW,0000037813
100 SNOW,0114019
100 SNOW,117004_9570_6_800
100 SNOW,1543904A
100 SNOW,0115331-13
100 SNOW,0114025
100 SNOW,0113303-00
100 SNOW,0112445
100 SNOW,2687412A
100 SNOW,0000037814
100 SNOW,5459999
100 SNOW,117011A
100 SNOW,0115331-11
100 SNOW,5451213
100 SNOW,0114023
100 SNOW,5451043
100 SNOW,0113336
100 SNOW,0000037815
100 SNOW,0113333
100 SNOW,2879194A-13
100 SNOW,2879194A-11
100 SNOW,0113334
100 SNOW,2883569
100 SNOW,0113307
100 SNOW,0000037816
100 SNOW,0114026-13
100 SNOW,0113332
100 SNOW,0113303-13
100 SNOW,0113312
100 SNOW,0114021
100 SNOW,0113303-11
100 SNOW,0002839191
100 SNOW,0113313
100 SNOW,0115686
100 SNOW,0114659-13
0114032,1263038_SW
0114659-11,1263038_SW_CAP
5451519,1262701
0113306,5413640
0114026-11,5211688
0000037813,3022698
0114019,5258819
117004_9570_6_800,1021006
1543904A,1019146
0115331-13,5138294
0114025,2635202
0113303-00,1023221
0112445,1023919
2687412A,3022713_SW
0000037814,1020287
5459999,1019139
117011A,ORG_HEAT_EXCHANGER_ASSY
0115331-11,3022697
5451213,1019180
0114023,2635203
5451043,1023230
0113336,3022712_SW
0000037815,1019140
0113333,5337390
2879194A-13,5139042
2879194A-11,1021543
0113334,1021376_SW
2883569,1023220
0113307,1019861
0000037816,7556565
0114026-13,1022101_SW
0113332,4015642
0113303-13,2521361
0113312,1240094
0114021,7519112
0113303-11,7547339
0002839191,2882119
0113313,4012165
0115686,0114026_SW2
0114659-13,0114026_SW1
0114032,5451206
0114659-11,7556327
5451519,7710807
0113306,7662246
0114026-11,0114026_SW5
0000037813,0114026_SW3
0114019,2413615_3
117004_9570_6_800,2413615_2
1543904A,2413615
0115331-13,0114026_SW4
0114025,7661855
0113303-00,3222231
0112445,7519236
2687412A,5137587
0000037814,7556509
5459999,5413563
117011A,1333118_SW
0115331-11,7555832
5451213,7555846
0114023,5137323
5451043,7519254
0113336,111007_1333119_CHAIN_REF
0000037815,5140953
0113333,3221099
2879194A-13,1322948
2879194A-11,1333605_SW
0113334,7052674
2883569,7518760
0113307,1910740_2
0000037816,2412968
0114026-13,1590551
0113332,7555806
0113303-13,7555864
0113312,1911986
0114021,1333119
0113303-11,7556130
0002839191,7519004
0113313,7556490
0115686,5814028
0114659-13,1170046_REARBUMPER
0114032,1543904_REAR_SUS
0114659-11,1019666
5451519,3023290
0113306,2635203
0114026-11,2635202
0000037813,1023972
0114019,1019180
117004_9570_6_800,5258819
1543904A,3023293
0115331-13,1019139
0114025,1019140
0113303-00,1019861
0112445,1019146
2687412A,3023292
0000037814,5337390
5459999,1021006
117011A,1021434
0115331-11,3023291
5451213,7556386
0114023,2521345_SW
5451043,2521344_SW
0113336,2685716
0000037815,7518656
0113333,5450390_SW
2879194A-13,5436628
2879194A-11,7520428
0113334,2521341_SW
2883569,5260523-13
0113307,7518613
0000037816,7547339
0114026-13,7661855
0113332,7520283
0113303-13,5451143
0113312,7555919
0114021,5415314
0113303-11,7621467
0002839191,1262626_SW
0113313,1262726_SW
0115686,1262725_SW
0114659-13,7081692
0114032,5414969
0114659-11,1262686_SW
5451519,2521629
0113306,7080843
0114026-11,5415302
0000037813,7080534
0114019,7080560
117004_9570_6_800,1240300
1543904A,5814409
0115331-13,5415139
0114025,7081693
0113303-00,7080842
0112445,7080844
2687412A,5415586
0000037814,2687412
5459999,117011_REAR_SUS
117011A,1019146
0115331-11,1023972
5451213,1019861
0114023,1021434
5451043,2635202
0113336,1021006
0000037815,1019180
0113333,1019140
2879194A-13,5337390
2879194A-11,1019666
0113334,5258819
2883569,1019139
0113307,3023291
0000037816,3023293
0114026-13,2635203
0113332,3023292
0113303-13,3023290
0113312,99904004
0114021,1823915
0113303-11,99903003
0002839191,0000387
0113313,1204992_SW
0115686,1205097_SW
0114659-13,7556702
0114032,1205058_BODY
0114659-11,5436992
5451519,1204331_SW
0113306,5134423
0114026-11,3022642_SW_SIMP
0000037813,1262425
0114019,1204723_SW_SIMP
117004_9570_6_800,5132334
1543904A,5131579
0115331-13,7518412
0114025,1205241
0113303-00,3022828_SIMP
0112445,5451612
2687412A,0000407
0000037814,1205241_2
5459999,2521382_SW
117011A,5139018_SIMP
0115331-11,7080998
5451213,5137850
0114023,5134982
5451043,5139427_SW_SIMP
0113336,1205059_SW
0000037815,3022082
0113333,1205241_2
2879194A-13,3022082
2879194A-11,3022642_SW_SIMP
0113334,5436992
2883569,0000387
0113307,1205097_SW
0000037816,5132334
0114026-13,7080998
0113332,1205058_BODY
0113303-13,5134982
0113312,1205241
0114021,1205059_SW
0113303-11,5131579
0002839191,7556702
0113313,1204723_SW_SIMP
0115686,5451612
0114659-13,5139427_SW_SIMP
0114032,1204331_SW
0114659-11,5139018_SIMP
5451519,5134423
0113306,0000407
0114026-11,3022828_SIMP
0000037813,1204992_SW
0114019,7518412
117004_9570_6_800,1262425
1543904A,5137850
0115331-13,2521382_SW
0114025,2879194
0113303-00,2879194
0112445,5132334
2687412A,7556702
0000037814,5436992
5459999,0000407
117011A,3022828_SIMP
0115331-11,3022642_SW_SIMP
5451213,7080998
0114023,1205241_2
5451043,1205241
0113336,5134982
0000037815,5137850
0113333,2521382_SW
2879194A-13,1205059_SW
2879194A-11,0000387
0113334,1262425
2883569,5134423
0113307,7518412
0000037816,5131579
0114026-13,3022082
0113332,5451612
0113303-13,1204331_SW
0113312,5139018_SIMP
0114021,5139427_SW_SIMP
0113303-11,1205058_BODY
0002839191,1202640_SW
0113313,1204723_SW_SIMP
0115686,7710808
0114659-13,7519112
0114032,5261169
0114659-11,7516823
5451519,7547366
0113306,7621429
0114026-11,7518238
0000037813,7661855
0114019,7519045
117004_9570_6_800,5452415
1543904A,1205379
0115331-13,1205327
0114025,5450462
0113303-00,2883569A
0112445,0114026_SW2
2687412A,0114026_SW5
0000037814,7556327
5459999,2413615
117011A,0114026_SW1
0115331-11,5451206
5451213,0114026_SW3
0114023,2413615_3
5451043,7662246
0113336,2413615_2
0000037815,2882119
0113333,0114026_SW4
2879194A-13,7710807
2879194A-11,4012165
0113334,7661855
2883569,5137850
0113307,7556702
0000037816,3022082
0114026-13,5132334
0113332,1205058_BODY
0113303-13,3022642_SW_SIMP
0113312,5134982
0114021,1204331_SW
0113303-11,5134423
0002839191,1262425
0113313,0000387
0115686,1204723_SW_SIMP
0114659-13,2521382_SW
0114032,5436992
0114659-11,1205241_2
5451519,1205241
0113306,1205059_SW
0114026-11,5131579
0000037813,5139018_SIMP
0114019,1205097_SW
117004_9570_6_800,3022828_SIMP
1543904A,7518412
0115331-13,7080998
0114025,5451612
0113303-00,5139427_SW_SIMP
0112445,1204992_SW
2687412A,0000407
0000037814,5451574
5459999,2635838
117011A,LABEL_ASSAULT_LH
0115331-11,LABEL_POLARIS_RH
5451213,5450427
0114023,5450426
5451043,LABEL_POLARIS_LH
0113336,5450428
0000037815,LABEL_ASSSULT_RH
0113333,2635481
2879194A-13,5437974
2879194A-11,5450456
0113334,5435156
2883569,5258290
0113307,2413200_HARNESS_SW
0000037816,2413200_CON_SW
0114026-13,2413777_HARNESS_SW
0113332,2413777_CON_SW
0113303-13,5450426
0113312,2635481
0114021,LABEL_POLARIS_RH
0113303-11,5450427
0002839191,LABEL_POLARIS_LH
0113313,5450428
0115686,LABEL_ASSAULT_LH
0114659-13,LABEL_ASSSULT_RH
0114032,5451574
0114659-11,2635838
5451519,5337767
0113306,7518533
0114026-11,5258323
0000037813,7547339
0114019,7519112
117004_9570_6_800,1019636
1543904A,99901001
0115331-13,99902002
0114025,1823915
0113303-00,1019146
0112445,1019180
2687412A,1023220
0000037814,1023230
5459999,1023919
117011A,5139042
0115331-11,1021006
5451213,3022698
0114023,2635202
5451043,1021376_SW
0113336,ORG_HEAT_EXCHANGER_ASSY
0000037815,1023221
0113333,1019139
2879194A-13,3022697
2879194A-11,5258819
0113334,2635203
2883569,1020287
0113307,3022712_SW
0000037816,5337390
0114026-13,3022713_SW
0113332,1019861
0113303-13,1019140
0113312,1021543
0114021,5138294
1263038_SW,7518490
1263038_SW_CAP,5260907
1262701,1262701_1
5413640,1262701_3
5211688,7555935
3022698,3022409_BUSHING
5258819,3022698_RUBBER
1021006,5338674
1019146,7519967
5138294,5337394
2635202,5633122
1023221,5138262
1023919,5633083
3022713_SW,5138261
1020287,7661130
1019139,5138263
ORG_HEAT_EXCHANGER_ASSY,7661637
3022697,5337389
1019180,5337390P
2635203,5138265
1023230,7520147
3022712_SW,5337815
1019140,5337395
5337390,5138266
5139042,2635204_P
1021543,5439309
1021376_SW,5450933
1023220,5633386
1019861,5141278
7556565,5454820
1022101_SW,5340890
4015642,7547790
2521361,7519092
1240094,5138700
7519112,5338161
7547339,7661637
2882119,5256783
4012165,7547421
0114026_SW2,5258817
0114026_SW1,5256426
5451206,5258346
7556327,5258829
7710807,5139568
7662246,5252098
0114026_SW5,ORG_HEAT_EXCHANGER
0114026_SW3,5258830
2413615_3,5139569
2413615_2,3022697_RUBBER
2413615,3022409_BUSHING
0114026_SW4,1019180_BALL
7661855,1019180_P
3222231,5450934
7519236,2635205_P
5137587,5439309
7556509,5138286
5413563,7520559
1333118_SW,1019183
7555832,5633989
7555846,5634116
5137323,5256849
7519254,1023230_SW1
111007_1333119_CHAIN_REF,5452369
5140953,5138285
3221099,7556064
1322948,7188334
1333605_SW,1333119
7052674,7547453
7518760,5264150
1910740_2,5138449
2412968,5264677
1590551,7661637
7555806,7519070
7555864,7547332
1911986,5337391
1333119,5261061
7556130,5633385
7519004,5141277
7556490,5337942
5814028,7547332
1170046_REARBUMPER,7518906
1543904_REAR_SUS,5337392
1019666,5451001
3023290,7052593
2635203,7052362
2635202,4014699
1023972,GAUGE_PCB_BOARD_ASSY_2
1019180,5415589
5258819,4016438_ASSY
3023293,RIBBON_CABLE
1019139,5452364
1019140,SELF_TAPPING_SCREW_M3X6
1019861,4015352
1019146,5135911
3023292,5139103
5337390,5251047
1021006,5258434
1021434,5438605
3023291,7520311
7556386,1021239_SW
2521345_SW,3514617
2521344_SW,5138392
2685716,3610030
7518656,3514309
5450390_SW,0113418
5436628,0113320
7520428,2684843
2521341_SW,2684844
5260523-13,5414733
7518613,7519327
7547339,5434589
7661855,1543724
7520283,5142129
5451143,1590511
7555919,7547332
5415314,1590457
7621467,7044379_BODY
1262626_SW,1590460
1262726_SW,7044562_SPRING
1262725_SW,5334285
7081692,116010_MJP_RTS_PIVOT_WELD
5414969,1543906_SW
1262686_SW,7043241
2521629,5137418
7080843,7518472
5415302,1590001
7080534,7517786
7080560,7547423
1240300,7547333
5814409,5434989
5415139,5141836_ASSY
7081693,1544014
7080842,1543184
7080844,5136569
5415586,7556545
2687412,5139172
117011_REAR_SUS,1543905_SW
1019146,1543907
1023972,7043240
1019861,5142128
1021434,5434590
2635202,7080394
1021006,1543908
1019180,7555939
1019140,5257099
5337390,7547753
1019666,3022697_RUBBER
5258819,3022409_BUSHING
1019139,5450934
3023291,2635205_P
3023293,5439309
2635203,2635204_P
3023292,5439309
3023290,5450933
99904004,1019188
1823915,5140781
99903003,1024146_SW
0000387,1019186
1204992_SW,5138449
1205097_SW,5139042
7556702,1241285
1205058_BODY,5256849
5436992,5138294
1204331_SW,1019183
5134423,0113202
3022642_SW_SIMP,5138285
1262425,5256863
1204723_SW_SIMP,5138286
5132334,7519010
5131579,1333119
7518412,5256864
1205241,1019180_BALL
3022828_SIMP,1019180_P
5451612,3022712_RUBBER
0000407,3022713_FLANGE
1205241_2,7516823
2521382_SW,3022286_TEE_BUSHING
5139018_SIMP,7661637
7080998,5256783
5137850,5264677
5134982,7661637
5139427_SW_SIMP,5337942
1205059_SW,7547332
3022082,7518906
1205241_2,5337392
3022082,7661130
3022642_SW_SIMP,5138263
5436992,7661637
0000387,5337389
1205097_SW,5337390P
5132334,5138265
7080998,7520147
1205058_BODY,5337815
5134982,5337395
1205241,5138266
1205059_SW,3022712
5131579,3022286_TEE_BUSHING
7556702,7547421
1204723_SW_SIMP,3022712_RUBBER
5451612,7519070
5139427_SW_SIMP,7547332
1204331_SW,5337391
5139018_SIMP,5338674
5134423,7519967
0000407,5337394
3022828_SIMP,5633122
1204992_SW,5138262
7518412,5633083
1262425,5138261
5137850,5139255
2521382_SW,1021436
2879194,1021435
2879194,7661973
5132334,7661637
7556702,1019308
5436992,3022409_BUSHING
0000407,3022698_RUBBER
3022828_SIMP,5450972
3022642_SW_SIMP,5450971
7080998,5452391
1205241_2,5450189
1205241,5140062
5134982,5140766
5137850,2687412_REF
2521382_SW,5140765
1205059_SW,7519002
0000387,5137418
1262425,7043240
5134423,7519327
7518412,5142129
5131579,7547332
3022082,1543905_SW_XC
5451612,116010_MJP_RTS_PIVOT_WELD
1204331_SW,5334285
5139018_SIMP,5139172
5139427_SW_SIMP,5434590
1205058_BODY,1543908_XC
1202640_SW,1544014
1204723_SW_SIMP,7547333
7710808,7044379_BODY_XC
7519112,7555939
5261169,7043241
7516823,7044562_SPRING_XC
7547366,7080394
7621429,1543724_XC
7518238,5141836_ASSY_XC
7661855,7518472
7519045,5142128
5452415,7547423
1205379,5136569
1205327,5434989
5450462,1590457
2883569A,1543907_XC
0114026_SW2,1590001
0114026_SW5,1590460_XC
7556327,7556545
2413615,1543906_SW_XC
0114026_SW1,7517786
5451206,7547339
0114026_SW3,5414733_XC
2413615_3,1543184
7662246,5434589
2413615_2,1590511
2882119,7661130
0114026_SW4,5138263
7710807,7661637
4012165,5337389
7661855,5337390P
5137850,5138265
7556702,7520147
3022082,5337815
5132334,5337395
1205058_BODY,5138266
3022642_SW_SIMP,1019188
5134982,5140781
1204331_SW,1024146_SW
5134423,1019186
1262425,5138449
0000387,5139042
1204723_SW_SIMP,1241285
2521382_SW,5256849
5436992,5138294
1205241_2,1019183
1205241,0113202
1205059_SW,5138285
5131579,5256863
5139018_SIMP,5138286
1205097_SW,7519010
3022828_SIMP,1333119
7518412,5256864
7080998,5337942
5451612,7547332
5139427_SW_SIMP,7518906
1204992_SW,5337392
0000407,5139255
5451574,1021436
2635838,1021435
LABEL_ASSAULT_LH,7661973
LABEL_POLARIS_RH,7661637
5450427,1019308
5450426,2635204_P
LABEL_POLARIS_LH,5439309
5450428,5450933
LABEL_ASSSULT_RH,5338674
2635481,7519967
5437974,5337394
5450456,5633122
5435156,5138262
5258290,5633083
