Type,Number,Name,End Item,Phantom,Trace Code,Generic Type,Service Kit,Serviceable,Assembly Mode,Location,Organization ID,Revision,View,State,Lifecycle,Source,Default Unit,Gathering Part,Collapsible,Belt Length,Part Cost,Part Classification,Material,_is_helicopter
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_837,SHELL_837,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_558,SHELL_558,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_739,SHELL_739,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_646,SHELL_646,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_557,SHELL_557,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,STL-6SHELL_415A,STL-SHELL_415A,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_836,SHELL_836,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_611,SHELL_611,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_733,SHELL_733,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,0050209,HELICOPTER MESSAGE-CENTER (MC) GAUGE,false,false,0,standard,false,true,separable,/Default/Design/CAD Data/Message Center,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_734,SHELL_734,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_644,SHELL_644,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_841,SHELL_841,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,6SHELL_737,SHELL_737,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
WCTYPE|wt.part.WTPart|com.ptc.MechanicalPart,STL-6SHELL_414A,STL-SHELL_414A,false,false,0,standard,false,true,component,/Default/Design/BOM Data,OEM,1,Design,RELEASED,Two Phase Development,make,ea,false,false,,0.00,,,True
